998,2995,4990,9928
the	ð ə
environmentally	ɪ n v aɪ ɹ ə n m ɛ n t ə ɫ i
wanna	w ɑ n ə
oblique	ə b ɫ i k
chemist	k ɛ m ɪ s t
taboo	t æ b u
trance	t ɹ æ n s
deduct	d ɪ d ʌ k t
inadvertently	ɪ n ə d v ɝ t ə n t ɫ i
beak	b i k
commute	k ə m j u t
lifeless	ɫ aɪ f ɫ ə s
prolong	p ɹ ə ɫ ɔ ŋ
delve	d ɛ ɫ v
pavilion	p ə v ɪ ɫ j ə n
curry	k ʌ ɹ i
specialization	s p ɛ ʃ ə ɫ ə z eɪ ʃ ə n
cuisine	k w ɪ z i n
reorganization	ɹ i ɔ ɹ ɡ ə n ə z eɪ ʃ ə n
shawl	ʃ ɔ ɫ
bonnet	b ɑ n ə t
convoy	k ɑ n v ɔɪ
deterministic	d ɪ t ɝ m ə n ɪ s t ɪ k
spotlight	s p ɑ t ɫ aɪ t
thinker	θ ɪ ŋ k ɝ
sewage	s u ə dʒ
transmitter	t ɹ æ n s m ɪ t ɝ
congestion	k ə n dʒ ɛ s tʃ ə n
drastic	d ɹ æ s t ɪ k
immoral	ɪ m ɔ ɹ ə ɫ
intrigue	ɪ n t ɹ i ɡ
haven	h eɪ v ə n
insulation	ɪ n s ə ɫ eɪ ʃ ə n
incidental	ɪ n s ɪ d ɛ n t ə ɫ
kindergarten	k ɪ n d ɝ ɡ ɑ ɹ t ə n
comrade	k ɑ m ɹ æ d
animate	æ n ə m ə t
sinner	s ɪ n ɝ
transcendental	t ɹ æ n s ə n d ɛ n t ə ɫ
trek	t ɹ ɛ k
scanner	s k æ n ɝ
transcendent	t ɹ æ n s ɛ n d ə n t
fray	f ɹ eɪ
serene	s ɝ i n
hometown	h oʊ m t aʊ n
austerity	ɔ s t ɛ ɹ ɪ t i
justly	dʒ ʌ s t ɫ i
retailer	ɹ i t eɪ ɫ ɝ
latency	ɫ eɪ t ə n s i
fabulous	f æ b j ə ɫ ə s
transporter	t ɹ æ n s p ɔ ɹ t ɝ
jug	dʒ ʌ ɡ
negate	n ɪ ɡ eɪ t
quantification	k w ɑ n t ɪ f ə k eɪ ʃ ə n
enlargement	ɪ n ɫ ɑ ɹ dʒ m ə n t
obsolete	ɑ b s ə ɫ i t
experimentally	ɪ k s p ɛ ɹ ə m ɛ n t ə ɫ i
inefficient	ɪ n ɪ f ɪ ʃ ə n t
mucosa	m j u k oʊ s ə
affiliate	ə f ɪ ɫ i eɪ t
instantaneous	ɪ n s t ə n t æ n i ə s
pawn	p ɔ n
jurisprudence	dʒ ʊ ɹ ə s p ɹ u d ə n s
interdependence	ɪ n t ɝ d ə p ɛ n d ə n s
seafood	s i f u d
ancestry	æ n s ɛ s t ɹ i
leftover	ɫ ɛ f t oʊ v ɝ
brutality	b ɹ u t æ ɫ ə t i
motherhood	m ʌ ð ɝ h ʊ d
casino	k ə s i n oʊ
trophy	t ɹ oʊ f i
ostensibly	ɑ s t ɛ n s ə b ɫ i
guideline	ɡ aɪ d ɫ aɪ n
ant	æ n t
tacit	t æ s ɪ t
outdoors	aʊ t d ɔ ɹ z
urgently	ɝ dʒ ə n t ɫ i
poker	p oʊ k ɝ
exponent	ɛ k s p oʊ n ə n t
sweetly	s w i t ɫ i
sanitation	s æ n ə t eɪ ʃ ə n
academia	æ k ə d i m i ə
unreliable	ʌ n ɹ ɪ ɫ aɪ ə b ə ɫ
porcelain	p ɔ ɹ s ə ɫ ə n
bakery	b eɪ k ɝ i
dogma	d ɑ ɡ m ə
guise	ɡ aɪ z
neutralize	n u t ɹ ə ɫ aɪ z
emblem	ɛ m b ɫ ə m
thither	ð ɪ θ ɝ
unmarried	ə n m ɛ ɹ i d
choke	tʃ oʊ k
falsehood	f æ ɫ s h ʊ d
funnel	f ʌ n ə ɫ
existent	ɛ ɡ z ɪ s t ə n t
culprit	k ʌ ɫ p ɹ ɪ t
generously	dʒ ɛ n ɝ ə s ɫ i
expulsion	ɪ k s p ʌ ɫ ʃ ə n
eloquent	ɛ ɫ ə k w ə n t
vacancy	v eɪ k ə n s i
canine	k eɪ n aɪ n
uterus	j u t ɝ ə s
arid	æ ɹ ə d
pedal	p ɛ d ə ɫ
gin	dʒ ɪ n
unmistakable	ʌ n m ɪ s t eɪ k ə b ə ɫ
brood	b ɹ u d
conjure	k ɑ n dʒ ɝ
boxer	b ɑ k s ɝ
facet	f æ s ə t
sac	s æ k
creamy	k ɹ i m i
whim	w ɪ m
syringe	s ɝ ɪ n dʒ
dispel	d ɪ s p ɛ ɫ
genealogy	dʒ i n i ɑ ɫ ə dʒ i
midwife	m ɪ d w aɪ f
atrophy	æ t ɹ ə f i
paradoxical	p ɛ ɹ ə d ɑ k s ɪ k ə ɫ
concomitant	k ɑ n k ɑ m ə t ə n t
bartender	b ɑ ɹ t ɛ n d ɝ
longevity	ɫ ɔ n dʒ ɛ v ə t i
opium	oʊ p i ə m
nostalgia	n ɔ s t æ ɫ dʒ ə
loot	ɫ u t
mushroom	m ʌ ʃ ɹ u m
temperate	t ɛ m p ɹ ə t
crusade	k ɹ u s eɪ d
terrific	t ɝ ɪ f ɪ k
disapproval	d ɪ s ə p ɹ u v ə ɫ
redress	ɹ ɪ d ɹ ɛ s
influenza	ɪ n f ɫ u ɛ n z ə
slay	s ɫ eɪ
reshape	ɹ i ʃ eɪ p
gratification	ɡ ɹ æ t ə f ə k eɪ ʃ ə n
quaint	k w eɪ n t
idol	aɪ d ə ɫ
homage	ɑ m ə dʒ
bulge	b ʌ ɫ dʒ
modesty	m ɑ d ə s t i
donate	d oʊ n eɪ t
anyhow	ɛ n i h aʊ
ferocious	f ɝ oʊ ʃ ə s
lame	ɫ eɪ m
watershed	w ɔ t ɝ ʃ ɛ d
dimly	d ɪ m ɫ i
responsiveness	ɹ ɪ s p ɑ n s ɪ v n ə s
reset	ɹ i s ɛ t
shrewd	ʃ ɹ u d
richly	ɹ ɪ tʃ ɫ i
curling	k ɝ ɫ ɪ ŋ
mechanically	m ə k æ n ɪ k ɫ i
caregiver	k ɛ ɹ ɡ ɪ v ɝ
shameful	ʃ eɪ m f ə ɫ
configure	k ə n f ɪ ɡ j ɝ
floral	f ɫ ɔ ɹ ə ɫ
connective	k ə n ɛ k t ɪ v
burrow	b ɝ oʊ
hourly	aʊ ɹ ɫ i
exploratory	ɪ k s p ɫ ɔ ɹ ə t ɔ ɹ i
roommate	ɹ u m eɪ t
merciful	m ɝ s ɪ f ə ɫ
taxonomy	t æ k s ɔ n ə m i
consul	k ɑ n s ə ɫ
conjugate	k ɑ n dʒ ə ɡ eɪ t
snapshot	s n æ p ʃ ɑ t
transfusion	t ɹ æ n s f j u ʒ ə n
flask	f ɫ æ s k
paternal	p ə t ɝ n ə ɫ
tuition	t j u ɪ ʃ ə n
advisable	ə d v aɪ z ə b ə ɫ
intolerable	ɪ n t ɑ ɫ ɝ ə b ə ɫ
ravine	ɹ ə v i n
idiom	ɪ d i ə m
eco	i k oʊ
apartheid	ə p ɑ ɹ t aɪ t
lunar	ɫ u n ɝ
luminous	ɫ u m ə n ə s
issuance	ɪ ʃ u ə n s
acknowledgement	æ k n ɑ ɫ ɪ dʒ m ə n t
tandem	t æ n d ə m
ledger	ɫ ɛ dʒ ɝ
daytime	d eɪ t aɪ m
wickedness	w ɪ k ə d n ə s
info	ɪ n f oʊ
hockey	h ɑ k i
heathen	h i ð ə n
freezer	f ɹ i z ɝ
forefront	f ɔ ɹ f ɹ ʌ n t
unpaid	ə n p eɪ d
tunic	t u n ɪ k
irreversible	ɪ ɹ ɪ v ɝ s ə b ə ɫ
hinge	h ɪ n dʒ
endowment	ɛ n d aʊ m ə n t
dedicate	d ɛ d ə k eɪ t
revolve	ɹ i v ɑ ɫ v
desktop	d ɛ s k t ɑ p
aneurysm	æ n j ʊ ɹ ɪ z ə m
yonder	j ɑ n d ɝ
competitor	k ə m p ɛ t ə t ɝ
witchcraft	w ɪ tʃ k ɹ æ f t
rum	ɹ ʌ m
inexpensive	ɪ n ɪ k s p ɛ n s ɪ v
inactive	ɪ n æ k t ɪ v
probabilistic	p ɹ ɑ b ə b ɪ ɫ ɪ s t ə k
lava	ɫ ɑ v ə
macroeconomic	m æ k ɹ oʊ ɛ k ə n ɑ m ɪ k
encode	ɛ n k oʊ d
sternly	s t ɝ n ɫ i
lush	ɫ ʌ ʃ
tout	t aʊ t
keenly	k i n ɫ i
debut	d eɪ b j u
dentist	d ɛ n t ə s t
wig	w ɪ ɡ
dwelling	d w ɛ ɫ ɪ ŋ
fathom	f æ ð ə m
amplify	æ m p ɫ ə f aɪ
postulate	p ɑ s tʃ ə ɫ eɪ t
melanoma	m ɛ ɫ ə n oʊ m ə
compulsion	k ə m p ʌ ɫ ʃ ə n
puddle	p ʌ d ə ɫ
sunglasses	s ʌ n ɡ ɫ æ s ɪ z
deliverance	d ɪ ɫ ɪ v ɝ ə n s
bravery	b ɹ eɪ v ɝ i
semiotic	s ɛ m i ɑ t ɪ k
decipher	d ɪ s aɪ f ɝ
secondly	s ɛ k ə n d ɫ i
polymerization	p ɑ ɫ ɪ m ɝ ə z eɪ ʃ ə n
excessively	ɪ k s ɛ s ɪ v ɫ i
instructive	ɪ n s t ɹ ʌ k t ɪ v
ironically	aɪ ɹ ɑ n ɪ k ɫ i
tractor	t ɹ æ k t ɝ
cathode	k æ θ oʊ d
gorge	ɡ ɔ ɹ dʒ
contentious	k ə n t ɛ n ʃ ə s
fortunately	f ɔ ɹ tʃ ə n ə t ɫ i
satire	s æ t aɪ ɝ
blueprint	b ɫ u p ɹ ɪ n t
rebellious	ɹ ɪ b ɛ ɫ j ə s
herb	ɝ b
saucepan	s ɔ s p æ n
grassland	ɡ ɹ æ s ɫ æ n d
municipality	m j u n ɪ s ə p æ ɫ ə t i
twinkle	t w ɪ ŋ k ə ɫ
undue	ə n d u
wrongly	ɹ ɔ ŋ ɫ i
motel	m oʊ t ɛ ɫ
muse	m j u z
trio	t ɹ i oʊ
forcibly	f ɔ ɹ s ə b ɫ i
grimace	ɡ ɹ ɪ m ə s
conserve	k ə n s ɝ v
intrude	ɪ n t ɹ u d
inception	ɪ n s ɛ p ʃ ə n
emigration	ɛ m ə ɡ ɹ eɪ ʃ ə n
blindly	b ɫ aɪ n d ɫ i
roughness	ɹ ʌ f n ə s
dearly	d ɪ ɹ ɫ i
sclerosis	s k ɫ ɝ oʊ s ə s
lordship	ɫ ɔ ɹ d ʃ ɪ p
caffeine	k æ f i n
monumental	m ɑ n j ə m ɛ n t ə ɫ
unaffected	ʌ n ə f ɛ k t ɪ d
amiable	eɪ m i ə b ə ɫ
anode	æ n oʊ d
wretch	ɹ ɛ tʃ
displace	d ɪ s p ɫ eɪ s
gale	ɡ eɪ ɫ
powerfully	p aʊ ɝ f ɫ i
authorship	ɔ θ ɝ ʃ ɪ p
symmetrical	s ə m ɛ t ɹ ɪ k ə ɫ
perfusion	p ɝ f j u z ə n
parsley	p ɑ ɹ s ɫ i
runway	ɹ ʌ n w eɪ
pathogenic	p æ θ ə dʒ ɛ n ɪ k
spasm	s p æ z ə m
abolish	ə b ɑ ɫ ɪ ʃ
entanglement	ɛ n t æ ŋ ɡ ə ɫ m ə n t
homemade	h oʊ m m eɪ d
intercultural	ɪ n t ɝ k ʌ ɫ tʃ ɝ ə ɫ
mythical	m ɪ θ ə k ə ɫ
amplifier	æ m p ɫ ə f aɪ ɝ
watery	w ɔ t ɝ i
turf	t ɝ f
stronghold	s t ɹ ɔ ŋ h oʊ ɫ d
plum	p ɫ ʌ m
underway	ʌ n d ɝ w eɪ
psychosis	s aɪ k oʊ s ə s
genus	dʒ i n ə s
tempo	t ɛ m p oʊ
recount	ɹ ɪ k aʊ n t
displeasure	d ɪ s p ɫ ɛ ʒ ɝ
occlusion	ə k ɫ u ʒ ə n
graphical	ɡ ɹ æ f ɪ k ə ɫ
bracket	b ɹ æ k ɪ t
whimper	w ɪ m p ɝ
ablation	ʌ b ɫ eɪ ʃ ə n
nexus	n ɛ k s ə s
illustrative	ɪ ɫ ʌ s t ɹ ə t ɪ v
farmhouse	f ɑ ɹ m h aʊ s
retaliation	ɹ i t æ ɫ i eɪ ʃ ə n
pathogenesis	p æ θ ə dʒ ɛ n ə s ɪ s
waveform	w eɪ v f ɔ ɹ m
boredom	b ɔ ɹ d ə m
algebraic	æ ɫ dʒ ə b ɹ eɪ ɪ k
censor	s ɛ n s ɝ
coma	k oʊ m ə
economical	ɛ k ə n ɑ m ɪ k ə ɫ
vantage	v æ n t ə dʒ
denominator	d ɪ n ɑ m ə n eɪ t ɝ
trespass	t ɹ ɛ s p æ s
ischemic	ɪ s k ɛ m ɪ k
ebb	ɛ b
impulsive	ɪ m p ʌ ɫ s ɪ v
hyper	h aɪ p ɝ
homosexuality	h oʊ m oʊ s ɛ k ʃ u æ ɫ ə t i
potency	p oʊ t ə n s i
topography	t ə p ɑ ɡ ɹ ə f i
cater	k eɪ t ɝ
ration	ɹ æ ʃ ə n
incite	ɪ n s aɪ t
waiver	w eɪ v ɝ
exaggeration	ɪ ɡ z æ dʒ ɝ eɪ ʃ ə n
cot	k ɑ t
investigative	ɪ n v ɛ s t ə ɡ eɪ t ɪ v
quadratic	k w ɑ d ɹ ɑ t ɪ k
condensation	k ɑ n d ə n s eɪ ʃ ə n
covariance	k oʊ v ɑ ɹ i ə n s
testosterone	t ɛ s t ɑ s t ɝ oʊ n
helplessness	h ɛ ɫ p ɫ ə s n ə s
unauthorized	ə n ɔ θ ɝ aɪ z d
dialectical	d aɪ ə ɫ ɛ k t ɪ k ə ɫ
breaker	b ɹ eɪ k ɝ
eligibility	ɛ ɫ ɪ dʒ ə b ɪ ɫ ɪ t i
immature	ɪ m ə t j ʊ ɹ
conceivable	k ə n s i v ə b ə ɫ
suspense	s ə s p ɛ n s
coordinator	k oʊ ɔ ɹ d ə n eɪ t ɝ
economist	ɪ k ɑ n ə m ɪ s t
parole	p ɝ oʊ ɫ
incline	ɪ n k ɫ aɪ n
savor	s eɪ v ɝ
situate	s ɪ tʃ u eɪ t
carelessly	k ɛ ɹ ɫ ə s ɫ i
bearing	b ɛ ɹ ɪ ŋ
decimal	d ɛ s ə m ə ɫ
pronunciation	p ɹ oʊ n ʌ n s i eɪ ʃ ə n
primacy	p ɹ aɪ m ə s i
unrealistic	ə n ɹ i ɫ ɪ s t ɪ k
reprint	ɹ i p ɹ ɪ n t
walnut	w ɔ ɫ n ʌ t
thaw	θ ɔ
shooter	ʃ u t ɝ
frighten	f ɹ aɪ t ə n
reddish	ɹ ɛ d ɪ ʃ
tonic	t ɑ n ɪ k
ransom	ɹ æ n s ə m
reassurance	ɹ i ə ʃ ʊ ɹ ə n s
disseminate	d ɪ s ɛ m ə n eɪ t
conveniently	k ə n v i n j ə n t ɫ i
zoo	z u
doorstep	d ɔ ɹ s t ɛ p
cucumber	k j u k ə m b ɝ
coercive	k oʊ ɝ s ɪ v
mischievous	m ɪ s tʃ ə v ə s
agrarian	ə ɡ ɹ ɛ ɹ i ə n
anion	æ n aɪ ɔ n
settler	s ɛ t ə ɫ ɝ
forfeit	f ɔ ɹ f ɪ t
marvelous	m ɑ ɹ v ə ɫ ə s
disobey	d ɪ s ə b eɪ
hustle	h ʌ s ə ɫ
grassroots	ɡ ɹ æ s ɹ u t s
leash	ɫ i ʃ
anesthetic	æ n ə s θ ɛ t ɪ k
extraordinarily	ɛ k s t ɹ ɔ ɹ d ə n ɛ ɹ ə ɫ i
northward	n ɔ ɹ θ w ɝ d
punitive	p j u n ə t ɪ v
boycott	b ɔɪ k ɑ t
championship	tʃ æ m p i ə n ʃ ɪ p
palliative	p æ ɫ i ə t ɪ v
hoof	h u f
sabotage	s æ b ə t ɑ ʒ
registry	ɹ ɛ dʒ ɪ s t ɹ i
persevere	p ɝ s ə v ɪ ɹ
endocrine	ɛ n d oʊ k ɹ aɪ n
charismatic	k ɛ ɹ ɪ z m æ t ɪ k
taper	t eɪ p ɝ
vegetarian	v ɛ dʒ ə t ɛ ɹ i ə n
parody	p ɛ ɹ ə d i
disparity	d ɪ s p ɛ ɹ ə t i
manly	m æ n ɫ i
tubular	t u b j ə ɫ ɝ
generalize	dʒ ɛ n ɝ ə ɫ aɪ z
grotesque	ɡ ɹ oʊ t ɛ s k
disagreeable	d ɪ s ə ɡ ɹ i ə b ə ɫ
eastward	i s t w ɝ d
awfully	ɑ f ɫ i
observance	ə b z ɝ v ə n s
litter	ɫ ɪ t ɝ
situational	s ɪ tʃ u eɪ ʃ ə n ə ɫ
outflow	aʊ t f ɫ oʊ
fissure	f ɪ ʃ ɝ
hairy	h ɛ ɹ i
follower	f ɑ ɫ oʊ ɝ
determinant	d ɪ t ɝ m ə n ə n t
antagonism	æ n t æ ɡ ə n ɪ z ə m
intrinsically	ɪ n t ɹ ɪ n s ɪ k ə ɫ i
quadrant	k w ɑ d ɹ ə n t
overweight	oʊ v ɝ w eɪ t
bounty	b aʊ n t i
tar	t ɑ ɹ
flora	f ɫ ɔ ɹ ə
gamble	ɡ æ m b ə ɫ
treacherous	t ɹ ɛ tʃ ɝ ə s
phenomenal	f ə n ɑ m ə n ə ɫ
fowl	f aʊ ɫ
materialism	m ə t ɪ ɹ i ə ɫ ɪ z ə m
profess	p ɹ ə f ɛ s
parametric	p ɛ ɹ ə m ɛ t ɹ ɪ k
illustrious	ɪ ɫ ʌ s t ɹ i ə s
caller	k ɔ ɫ ɝ
herbal	ɝ b ə ɫ
gathering	ɡ æ ð ɝ ɪ ŋ
primal	p ɹ aɪ m ə ɫ
archaeology	ɑ ɹ k i ɑ ɫ ə dʒ i
denounce	d ɪ n aʊ n s
conceit	k ə n s i t
lottery	ɫ ɑ t ɝ i
unification	j u n ə f ə k eɪ ʃ ə n
skillet	s k ɪ ɫ ə t
dean	d i n
purify	p j ʊ ɹ ə f aɪ
lash	ɫ æ ʃ
amorphous	ə m ɔ ɹ f ə s
aback	ə b æ k
dreary	d ɹ ɪ ɹ i
bourgeoisie	b ʊ ɹ ʒ w ɑ z i
clown	k ɫ aʊ n
beverage	b ɛ v ɝ ɪ dʒ
opaque	oʊ p eɪ k
soak	s oʊ k
polarity	p oʊ ɫ ɛ ɹ ə t i
heresy	h ɛ ɹ ə s i
professionally	p ɹ ə f ɛ ʃ ə n ə ɫ i
standardization	s t æ n d ɝ d ɪ z eɪ ʃ ə n
vintage	v ɪ n t ɪ dʒ
atypical	eɪ t ɪ p ɪ k ə ɫ
nobleman	n oʊ b ə ɫ m ə n
impediment	ɪ m p ɛ d ə m ə n t
cranial	k ɹ eɪ n j ə ɫ
brink	b ɹ ɪ ŋ k
sling	s ɫ ɪ ŋ
shunt	ʃ ʌ n t
disobedience	d ɪ s ə b i d i ə n s
circumference	s ɝ k ʌ m f ɹ ə n s
hurdle	h ɝ d ə ɫ
hallmark	h ɑ ɫ m ɑ ɹ k
precondition	p ɹ i k ə n d ɪ ʃ ə n
swirl	s w ɝ ɫ
indignant	ɪ n d ɪ ɡ n ə n t
normalization	n ɔ ɹ m ə ɫ ɪ z eɪ ʃ ə n
emit	ɪ m ɪ t
bustle	b ʌ s ə ɫ
compost	k ɑ m p oʊ s t
fixture	f ɪ k s tʃ ɝ
pretext	p ɹ i t ɛ k s t
discreet	d ɪ s k ɹ i t
flop	f ɫ ɑ p
murderous	m ɝ d ɝ ə s
indefinitely	ɪ n d ɛ f ə n ə t ɫ i
unintended	ʌ n ɪ n t ɛ n d ɪ d
prudence	p ɹ u d ə n s
daze	d eɪ z
refractory	ɹ ə f ɹ æ k t ɝ i
visionary	v ɪ ʒ ə n ɛ ɹ i
privatization	p ɹ aɪ v ə t ə z eɪ ʃ ə n
amber	æ m b ɝ
rev	ɹ ɛ v
ascribe	ə s k ɹ aɪ b
vie	v aɪ
redirect	ɹ i d ɝ ɛ k t
moderation	m ɑ d ɝ eɪ ʃ ə n
emphatically	ɛ m f æ t ɪ k ɫ i
harp	h ɑ ɹ p
honourable	ɑ n ɝ ə b ə ɫ
emerald	ɛ m ɹ ə ɫ d
lumbar	ɫ ʌ m b ɑ ɹ
correctness	k ɝ ɛ k t n ə s
trough	t ɹ ɔ f
sarcasm	s ɑ ɹ k æ z ə m
downwards	d aʊ n w ɝ d z
faulty	f ɔ ɫ t i
brag	b ɹ æ ɡ
provocative	p ɹ oʊ v ɑ k ə t ɪ v
shilling	ʃ ɪ ɫ ɪ ŋ
cynical	s ɪ n ɪ k ə ɫ
agile	æ dʒ ə ɫ
astronomer	ə s t ɹ ɑ n ə m ɝ
involuntarily	ɪ n v oʊ ɫ ʌ n t ɝ ɪ ɫ i
deflect	d ɪ f ɫ ɛ k t
insecure	ɪ n s ə k j ɝ
clutter	k ɫ ʌ t ɝ
politeness	p ə ɫ aɪ t n ə s
predator	p ɹ ɛ d ə t ɝ
unavailable	ʌ n ə v eɪ ɫ ə b ə ɫ
penal	p i n ə ɫ
howling	h aʊ ɫ ɪ ŋ
hither	h ɪ ð ɝ
emulsion	ɪ m ʌ ɫ ʃ ə n
absurdity	ə b s ɝ d ə t i
cripple	k ɹ ɪ p ə ɫ
adultery	ə d ʌ ɫ t ɝ i
concise	k ə n s aɪ s
gentleness	dʒ ɛ n t ə ɫ n ə s
containment	k ə n t eɪ n m ə n t
utilitarian	j u t ɪ ɫ ə t ɛ ɹ i ə n
suction	s ʌ k ʃ ə n
transformer	t ɹ æ n s f ɔ ɹ m ɝ
lowly	ɫ oʊ ɫ i
elegance	ɛ ɫ ə ɡ ə n s
jolly	dʒ ɑ ɫ i
methanol	m ɛ θ ə n ɑ ɫ
recreate	ɹ ɛ k ɹ i eɪ t
prerogative	p ɹ ɪ ɹ ɑ ɡ ə t ɪ v
chunk	tʃ ʌ ŋ k
fascist	f æ ʃ ɪ s t
resolute	ɹ ɛ z ə ɫ u t
halo	h eɪ ɫ oʊ
acutely	ə k j u t ɫ i
clove	k ɫ oʊ v
quiz	k w ɪ z
newsletter	n u z ɫ ɛ t ɝ
monomer	m ɑ n ə m ɝ
reliably	ɹ ɪ ɫ aɪ ə b ɫ i
eloquence	ɛ ɫ ə k w ə n s
whichever	w ɪ tʃ ɛ v ɝ
companionship	k ə m p æ n j ə n ʃ ɪ p
horizontally	h ɔ ɹ ɪ z ɑ n t ə ɫ i
refill	ɹ i f ɪ ɫ
naughty	n ɔ t i
vial	v aɪ ə ɫ
brisk	b ɹ ɪ s k
censure	s ɛ n ʃ ɝ
palate	p æ ɫ ə t
egalitarian	ɪ ɡ æ ɫ ə t ɛ ɹ i ə n
carotid	k ɝ ɑ t ɪ d
unsafe	ə n s eɪ f
categorization	k æ t ə ɡ ɝ ɪ z eɪ ʃ ə n
diode	d aɪ oʊ d
contributor	k ə n t ɹ ɪ b j ə t ɝ
conduit	k ɑ n d u ɪ t
probation	p ɹ oʊ b eɪ ʃ ə n
selfishness	s ɛ ɫ f ɪ ʃ n ə s
titanium	t aɪ t eɪ n i ə m
fraught	f ɹ ɔ t
tapestry	t æ p ə s t ɹ i
inwardly	ɪ n w ɝ d ɫ i
brittle	b ɹ ɪ t ə ɫ
additionally	ə d ɪ ʃ ə n ʌ ɫ i
rigidity	ɹ ɪ dʒ ɪ d ə t i
nozzle	n ɑ z ə ɫ
adorable	ə d ɔ ɹ ə b ə ɫ
renovation	ɹ ɛ n ə v eɪ ʃ ə n
skim	s k ɪ m
enormously	ɪ n ɔ ɹ m ə s ɫ i
dorm	d ɔ ɹ m
rite	ɹ aɪ t
interstate	ɪ n t ɝ s t eɪ t
exogenous	ɛ k s oʊ dʒ ə n ə s
repel	ɹ ɪ p ɛ ɫ
rotational	ɹ oʊ t eɪ ʃ ə n ə ɫ
dangerously	d eɪ n dʒ ɝ ə s ɫ i
primordial	p ɹ ɪ m ɔ ɹ d i ə ɫ
thrombosis	θ ɹ ɑ m b oʊ s ə s
cartridge	k ɑ ɹ t ɹ ə dʒ
pulpit	p ʊ ɫ p ɪ t
clerical	k ɫ ɛ ɹ ə k ə ɫ
horrid	h ɔ ɹ ə d
selectively	s ə ɫ ɛ k t ɪ v ɫ i
attenuation	ə t ɛ n j u eɪ ʃ ə n
uterine	j u t ɝ ə n
juncture	dʒ ʌ ŋ k tʃ ɝ
harshly	h ɑ ɹ ʃ ɫ i
ballad	b æ ɫ ə d
exacerbate	ɪ ɡ z æ s ɝ b eɪ t
generative	dʒ ɛ n ɝ ə t ɪ v
binder	b aɪ n d ɝ
nip	n ɪ p
lovingly	ɫ ʌ v ɪ ŋ ɫ i
humane	h j u m eɪ n
perpetrator	p ɝ p ə t ɹ eɪ t ɝ
offline	ɔ f ɫ aɪ n
precedence	p ɹ ɛ s ə d ə n s
bibliography	b ɪ b ɫ i ɑ ɡ ɹ ə f i
inert	ɪ n ɝ t
rake	ɹ eɪ k
sibling	s ɪ b ɫ ɪ ŋ
uranium	j ɝ eɪ n i ə m
heroin	h ɛ ɹ oʊ ə n
conqueror	k ɑ ŋ k ɝ ɝ
draught	d ɹ æ f t
dissociation	d ɪ s oʊ s i eɪ ʃ ə n
lotus	ɫ oʊ t ə s
redundancy	ɹ ɪ d ʌ n d ə n s i
blunder	b ɫ ʌ n d ɝ
admissible	ə d m ɪ s ə b ə ɫ
mammalian	m ə m eɪ ɫ i ə n
materially	m ə t ɪ ɹ i ə ɫ i
grandma	ɡ ɹ æ n d m ɑ
directional	d ɝ ɛ k ʃ ə n ə ɫ
nude	n u d
liberalization	ɫ ɪ b ɝ ə ɫ ɪ z eɪ ʃ ə n
sap	s æ p
splendor	s p ɫ ɛ n d ɝ
cedar	s i d ɝ
sane	s eɪ n
replica	ɹ ɛ p ɫ ɪ k ə
humanist	h j u m ə n ɪ s t
perseverance	p ɝ s ə v ɪ ɹ ə n s
depot	d i p oʊ
patriarch	p eɪ t ɹ i ɑ ɹ k
thicket	θ ɪ k ɪ t
enzymatic	ɛ n z aɪ m æ t ɪ k
extremist	ɛ k s t ɹ i m ɪ s t
asymptomatic	eɪ s ɪ m p t ə m æ t ɪ k
discontinuity	d ɪ s k ɑ n t ɪ n u ɪ t i
conversational	k ɑ n v ɝ s eɪ ʃ ə n ə ɫ
exaggerate	ɪ ɡ z æ dʒ ɝ eɪ t
coupon	k u p ɔ n
capacitance	k ə p æ s ə t ə n s
plentiful	p ɫ ɛ n t ə f ə ɫ
archival	ɑ ɹ k aɪ v ə ɫ
destroyer	d ɪ s t ɹ ɔɪ ɝ
astronomy	ə s t ɹ ɑ n ə m i
paraphrase	p ɛ ɹ ə f ɹ eɪ z
geometrical	dʒ i ə m ɛ t ɹ ɪ k ə ɫ
pornography	p ɔ ɹ n ɑ ɡ ɹ ə f i
geopolitical	dʒ i oʊ p ə ɫ ɪ t ɪ k ə ɫ
din	d ɪ n
insure	ɪ n ʃ ʊ ɹ
ark	ɑ ɹ k
rusty	ɹ ʌ s t i
regenerate	ɹ i dʒ ɛ n ɝ eɪ t
bouquet	b u k eɪ
salty	s ɔ ɫ t i
usher	ʌ ʃ ɝ
anal	eɪ n ə ɫ
intellectually	ɪ n t ə ɫ ɛ k tʃ u ə ɫ i
lucrative	ɫ u k ɹ ə t ɪ v
edifice	ɛ d ə f ə s
uncanny	ə n k æ n i
cleave	k ɫ i v
ref	ɹ ɛ f
provocation	p ɹ ɑ v ə k eɪ ʃ ə n
psychiatry	s aɪ k aɪ ə t ɹ i
sufficiency	s ə f ɪ ʃ ə n s i
unclean	ə n k ɫ i n
chew	tʃ u
dictator	d ɪ k t eɪ t ɝ
unspoken	ə n s p oʊ k ə n
outrageous	aʊ t ɹ eɪ dʒ ə s
duality	d u æ ɫ ə t i
interstitial	ɪ n t ɝ s t ɪ ʃ ə ɫ
cutaneous	k j u t eɪ n i ə s
pumpkin	p ʌ m p k ɪ n
